"","team.abbrev","mean","X2.5.","X97.5."
"1","BL",1.16071737538643,0.201500228394055,2.26797211890515
"2","GEE",1.10930275315283,0.0972899727422345,2.2383262388669
"3","ADEL",1.03262214814723,0.0315436442260876,2.1252946411225
"4","COLL",0.950154822346753,-0.0435805544011102,2.02480772368001
"5","HAW",0.832426329342562,-0.132418997797565,1.83667279253808
"6","GWS",0.776183154623988,-0.224367705367528,1.84443501211352
"7","FRE",0.730585883818018,-0.255665573955887,1.75858536768217
"8","GCFC",0.692213377127609,-0.299579796358336,1.70107680591776
"9","WB",0.488547669778619,-0.497841669190462,1.58738554785528
"10","SYD",0.124296855888114,-0.843716990279362,1.11559745225809
"11","PORT",-0.310352359269389,-1.32074414444766,0.657869992915506
"12","STK",-0.402525791419096,-1.43695515037189,0.58828761516706
"13","CARL",-0.551538208028018,-1.62067210128624,0.437609918080088
"14","MEL",-0.886689331349368,-1.96959690665038,0.122842867079245
"15","ESS",-1.01395756765376,-2.10929682637874,0.000110597668725757
"16","NMFC",-1.08626947944473,-2.17639667074902,-0.0774673491770178
"17","RICH",-1.40011269127729,-2.64951754616454,-0.308859067255585
"18","WCE",-2.38280223688197,-3.97837826842795,-1.09366203126005
